unit_id,first_seen,last_seen,reit,community
MAA-eagle-ridge-2br-1017sqft-07705,2026-03-30,2026-05-17,MAA,MAA Eagle Ridge
MAA-eagle-ridge-2br-1134sqft-06620,2026-03-30,2026-04-04,MAA,MAA Eagle Ridge
MAA-eagle-ridge-2br-1134sqft-101002,2026-03-30,2026-04-04,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-906sqft-04416,2026-03-30,2026-04-04,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-695sqft-04411,2026-03-30,2026-04-04,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-906sqft-03320,2026-03-30,2026-05-25,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-841sqft-03306,2026-03-30,2026-04-12,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-695sqft-08815,2026-03-30,2026-04-12,MAA,MAA Eagle Ridge
MAA-eagle-ridge-2br-1134sqft-05504,2026-03-30,2026-05-17,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-841sqft-04413,2026-03-30,2026-03-30,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-695sqft-02211,2026-03-30,2026-06-22,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-695sqft-101010,2026-03-30,2026-06-22,MAA,MAA Eagle Ridge
MAA-eagle-ridge-2br-1017sqft-08801,2026-03-30,2026-03-30,MAA,MAA Eagle Ridge
MAA-eagle-ridge-2br-1017sqft-09901,2026-03-30,2026-04-04,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-695sqft-06614,2026-03-30,2026-05-25,MAA,MAA Eagle Ridge
MAA-eagle-ridge-1br-841sqft-07707,2026-03-30,2026-05-17,MAA,MAA Eagle Ridge
MAA-liberty-park-1br-807sqft-011312,2026-03-30,2026-04-04,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010931,2026-03-30,2026-03-30,MAA,MAA Liberty Park
MAA-liberty-park-3br-1404sqft-010218,2026-03-30,2026-07-19,MAA,MAA Liberty Park
MAA-liberty-park-1br-976sqft-010825,2026-03-30,2026-04-04,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010234,2026-03-30,2026-03-30,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010413,2026-03-30,2026-05-09,MAA,MAA Liberty Park
MAA-liberty-park-3br-1547sqft-010321,2026-03-30,2026-06-22,MAA,MAA Liberty Park
MAA-liberty-park-1br-807sqft-010702,2026-03-30,2026-07-19,MAA,MAA Liberty Park
MAA-liberty-park-1br-807sqft-011317,2026-03-30,2026-04-12,MAA,MAA Liberty Park
MAA-liberty-park-3br-1404sqft-010318,2026-03-30,2026-05-03,MAA,MAA Liberty Park
MAA-liberty-park-3br-1404sqft-011111,2026-03-30,2026-05-17,MAA,MAA Liberty Park
MAA-liberty-park-2br-1244sqft-011528,2026-03-30,2026-05-17,MAA,MAA Liberty Park
MAA-liberty-park-1br-807sqft-010601,2026-03-30,2026-06-22,MAA,MAA Liberty Park
MAA-liberty-park-3br-1547sqft-010624,2026-03-30,2026-04-12,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010127,2026-03-30,2026-05-25,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010812,2026-03-30,2026-05-03,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010402,2026-03-30,2026-05-30,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-011113,2026-03-30,2026-04-04,MAA,MAA Liberty Park
MAA-liberty-park-3br-1547sqft-010921,2026-03-30,2026-03-30,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010131,2026-03-30,2026-08-02,MAA,MAA Liberty Park
MAA-liberty-park-3br-1547sqft-010621,2026-03-30,2026-06-22,MAA,MAA Liberty Park
MAA-liberty-park-2br-1093sqft-010923,2026-03-30,2026-08-02,MAA,MAA Liberty Park
MAA-liberty-park-1br-807sqft-011201,2026-03-30,2026-08-02,MAA,MAA Liberty Park
MAA-liberty-park-3br-1404sqft-010915,2026-03-30,2026-07-19,MAA,MAA Liberty Park
MAA-liberty-park-1br-807sqft-010626,2026-03-30,2026-04-12,MAA,MAA Liberty Park
MAA-riverchase-1br-800sqft-181807,2026-03-30,2026-05-30,MAA,MAA Riverchase
MAA-riverchase-1br-878sqft-06612,2026-03-30,2026-04-19,MAA,MAA Riverchase
MAA-riverchase-2br-1108sqft-181813,2026-03-30,2026-04-04,MAA,MAA Riverchase
MAA-riverchase-1br-800sqft-181804,2026-03-30,2026-06-22,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-06623,2026-03-30,2026-05-09,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-171712,2026-03-30,2026-04-19,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-121216,2026-03-30,2026-04-04,MAA,MAA Riverchase
MAA-riverchase-1br-833sqft-03304,2026-03-30,2026-05-03,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-141423,2026-03-30,2026-05-09,MAA,MAA Riverchase
MAA-riverchase-1br-939sqft-111114,2026-03-30,2026-04-12,MAA,MAA Riverchase
MAA-riverchase-1br-783sqft-171704,2026-03-30,2026-04-04,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-171725,2026-03-30,2026-05-03,MAA,MAA Riverchase
MAA-riverchase-1br-878sqft-06622,2026-03-30,2026-04-27,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-111116,2026-03-30,2026-06-22,MAA,MAA Riverchase
MAA-riverchase-1br-878sqft-131312,2026-03-30,2026-05-25,MAA,MAA Riverchase
MAA-riverchase-1br-939sqft-111112,2026-03-30,2026-04-27,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-07708,2026-03-30,2026-06-22,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-141403,2026-03-30,2026-05-03,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-09916,2026-03-30,2026-06-08,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-121212,2026-03-30,2026-03-30,MAA,MAA Riverchase
MAA-riverchase-1br-800sqft-151507,2026-03-30,2026-05-03,MAA,MAA Riverchase
MAA-riverchase-1br-939sqft-09907,2026-03-30,2026-05-30,MAA,MAA Riverchase
MAA-riverchase-1br-800sqft-161617,2026-03-30,2026-05-03,MAA,MAA Riverchase
MAA-riverchase-3br-1203sqft-02213,2026-03-30,2026-05-25,MAA,MAA Riverchase
MAA-riverchase-2br-1018sqft-141411,2026-03-30,2026-04-04,MAA,MAA Riverchase
MAA-riverchase-1br-863sqft-101012,2026-03-30,2026-06-22,MAA,MAA Riverchase
MAA-riverchase-1br-939sqft-111117,2026-03-30,2026-04-04,MAA,MAA Riverchase
MAA-ross-bridge-2br-1247sqft-1111301,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-1010306,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-0404301,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-1013sqft-1313209,2026-03-30,2026-04-12,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-0707310,2026-03-30,2026-03-30,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-0404310,2026-03-30,2026-04-19,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-1313305,2026-03-30,2026-03-30,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-834sqft-0404108,2026-03-30,2026-04-12,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-1013sqft-0202309,2026-03-30,2026-04-19,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-834sqft-1111203,2026-03-30,2026-06-22,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-834sqft-1313208,2026-03-30,2026-05-17,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-1111205,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-1010205,2026-03-30,2026-04-27,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-1313205,2026-03-30,2026-05-30,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-1013sqft-0202104,2026-03-30,2026-04-27,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-0808105,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-1010106,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-1313105,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-0202205,2026-03-30,2026-04-04,MAA,MAA Ross Bridge
MAA-ross-bridge-1br-834sqft-1111208,2026-03-30,2026-05-09,MAA,MAA Ross Bridge
MAA-ross-bridge-3br-1554sqft-0707105,2026-03-30,2026-03-30,MAA,MAA Ross Bridge
MAA-ross-bridge-2br-1247sqft-0404101,2026-03-30,2026-05-09,MAA,MAA Ross Bridge
MAA-trussville-1br-819sqft-011005,2026-03-30,2026-04-19,MAA,MAA Trussville
MAA-trussville-3br-1378sqft-010711,2026-03-30,2026-06-13,MAA,MAA Trussville
MAA-trussville-3br-1378sqft-010204,2026-03-30,2026-05-09,MAA,MAA Trussville
MAA-trussville-2br-1127sqft-011318,2026-03-30,2026-04-04,MAA,MAA Trussville
MAA-trussville-3br-1378sqft-012003,2026-03-30,2026-04-04,MAA,MAA Trussville
MAA-trussville-2br-1127sqft-011314,2026-03-30,2026-04-12,MAA,MAA Trussville
